*****************************
Basic coeficients
*****************************
Alpha, Cd
  -8.000    ,   -.1886E-02
  -6.000    ,   -.1882E-02
  -4.000    ,   -.1886E-02
  -2.000    ,   -.1897E-02
    .000    ,   -.1916E-02
   2.000    ,   -.1942E-02
   4.000    ,   -.1976E-02
   8.000    ,   -.2055E-02
   9.000    ,   -.2071E-02
   10.00    ,   -.2085E-02
   12.00    ,   -.2105E-02
   14.00    ,   -.2089E-02
   16.00    ,   -.2057E-02
   18.00    ,   -.2035E-02
   19.00    ,   -.2024E-02
   20.00    ,   -.2014E-02
   21.00    ,   -.2009E-02
   22.00    ,   -.2003E-02
   24.00    ,   -.1987E-02

Alpha, Clr
  -16.00    ,   -.3164E-02
  -8.000    ,   -.1315E-02
  -6.000    ,   -.6927E-03
  -4.000    ,   -.7594E-04
  -2.000    ,    .5300E-03
    .000    ,    .1136E-02
   2.000    ,    .1745E-02
   4.000    ,    .2351E-02
   8.000    ,    .3409E-02
   9.000    ,    .3593E-02
   10.00    ,    .3743E-02
   12.00    ,    .3960E-02
   14.00    ,    .3810E-02
   16.00    ,    .3500E-02
   18.00    ,    .3323E-02
   19.00    ,    .3257E-02
   20.00    ,    .3195E-02
   21.00    ,    .3210E-02
   22.00    ,    .3216E-02
   24.00    ,    .3211E-02

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -20.00    ,   -.1559    
  -15.00    ,   -.1478    
  -10.00    ,   -.1043    
  -5.000    ,   -.5213E-01
    .000    ,     .000    
   5.000    ,    .5213E-01
   10.00    ,    .1043    
   13.00    ,    .1328    
   16.00    ,    .1538    

Plain flaps
DeltaFlap, Cm
  -20.00    ,    .4453    
  -15.00    ,    .4206    
  -10.00    ,    .2968    
  -5.000    ,    .1484    
    .000    ,     .000    
   5.000    ,   -.1484    
   10.00    ,   -.2968    
   13.00    ,   -.3779    
   16.00    ,   -.4381    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    13.00    ,    16.00    
  -16.00    ,    .2417E-01,    .2256E-01,    .1454E-01,    .6449E-02,     .000    ,   -.4802E-02,   -.7958E-02,   -.8989E-02,   -.9430E-02
  -8.000    ,    .1598E-01,    .1479E-01,    .9061E-02,    .3707E-02,     .000    ,   -.2060E-02,   -.2474E-02,   -.2002E-02,   -.1342E-02
  -6.000    ,    .1424E-01,    .1314E-01,    .7896E-02,    .3125E-02,     .000    ,   -.1478E-02,   -.1310E-02,   -.5184E-03,    .3758E-03
  -4.000    ,    .1254E-01,    .1152E-01,    .6758E-02,    .2556E-02,     .000    ,   -.9091E-03,   -.1716E-03,    .9315E-03,    .2054E-02
  -2.000    ,    .1086E-01,    .9937E-02,    .5638E-02,    .1996E-02,     .000    ,   -.3490E-03,    .9486E-03,    .2359E-02,    .3707E-02
    .000    ,    .9222E-02,    .8382E-02,    .4540E-02,    .1447E-02,     .000    ,    .1996E-03,    .2046E-02,    .3757E-02,    .5325E-02
   2.000    ,    .7622E-02,    .6865E-02,    .3470E-02,    .9117E-03,     .000    ,    .7348E-03,    .3116E-02,    .5121E-02,    .6904E-02
   4.000    ,    .6052E-02,    .5377E-02,    .2420E-02,    .3867E-03,     .000    ,    .1260E-02,    .4166E-02,    .6459E-02,    .8453E-02
   8.000    ,    .2823E-02,    .2315E-02,    .2592E-03,   -.6937E-03,     .000    ,    .2340E-02,    .6327E-02,    .9211E-02,    .1164E-01
   9.000    ,    .1940E-02,    .1478E-02,   -.3313E-03,   -.9889E-03,     .000    ,    .2635E-02,    .6918E-02,    .9964E-02,    .1251E-01
   10.00    ,    .1020E-02,    .6058E-03,   -.9465E-03,   -.1297E-02,     .000    ,    .2943E-02,    .7533E-02,    .1075E-01,    .1342E-01
   12.00    ,   -.1123E-02,   -.1426E-02,   -.2380E-02,   -.2013E-02,     .000    ,    .3660E-02,    .8966E-02,    .1257E-01,    .1553E-01
   14.00    ,   -.3786E-02,   -.3951E-02,   -.4162E-02,   -.2904E-02,     .000    ,    .4551E-02,    .1075E-01,    .1484E-01,    .1816E-01
